Site Code,Direction,Posted Speed,Month,Days of Data,Observed Vehicles, 0 to 5 MPH Vehicle Count,5 to 10 MPH Vehicle Count,10 to 15 MPH Vehicle Count,15 to 20 MPH Vehicle Count,20 to 25 MPH Vehicle Count,25 to 30 MPH Vehicle Count,30 to 35 MPH Vehicle Count,35 to 40 MPH Vehicle Count,40 to 45 MPH Vehicle Count,45 to 50 MPH Vehicle Count,50 to 55 MPH Vehicle Count,55 to 60 MPH Vehicle Count,60 to 65 MPH Vehicle Count,65 to 70 MPH Vehicle Count,70 to 75 MPH Vehicle Count,75 to 80 MPH Vehicle Count,80 to 85 MPH Vehicle Count,85 to 90 MPH Vehicle Count,90 to 95 MPH Vehicle Count,Average Speed,Percent >= 5 MPH Over Limit,Percent >= 10 MPH Over Limit,>=5 MPH Over Limit Peak Hour,>=10 MPH Over Limit Peak Hour,85th Percentile Speed
B02,EB,60,Jan,31,"292,925",0,1,0,2,4,9,16,23,111,551,"4,239","33,465","130,205","105,067","17,167","1,703",249,55,58,64,42.4%,6.6%,1600 - 1700,1200 - 1300,69
B02,WB,60,Jan,31,"287,677",0,0,0,3,12,28,33,32,147,741,"4,358","32,073","134,905","98,109","15,028","1,840",256,57,55,64,40.1%,6.0%,1600 - 1700,1100 - 1200,69
B02,EB,60,Feb,29,"307,051",0,0,2,0,4,3,15,13,57,334,"2,900","28,190","130,549","119,370","22,729","2,399",361,64,61,65,47.2%,8.3%,1600 - 1700,1600 - 1700,69
B02,WB,60,Feb,29,"305,451",0,0,0,0,0,12,19,27,100,500,"3,107","27,078","138,259","114,310","19,126","2,429",330,73,81,65,44.6%,7.2%,1600 - 1700,1200 - 1300,69
B02,EB,60,Mar,30,"263,680",0,0,0,1,3,6,5,16,52,308,"2,369","22,975","109,231","103,359","21,819","2,884",466,89,97,65,48.8%,9.6%,1600 - 1700,1700 - 1800,69
B02,WB,60,Mar,30,"262,407",0,0,0,1,0,7,18,25,102,485,"2,593","20,895","113,026","100,434","20,683","3,376",544,124,94,65,47.7%,9.5%,1600 - 1700,1200 - 1300,69
B03,NB,70,Jan,31,"223,398",0,0,0,0,6,15,19,117,315,"1,003","2,671","8,654","40,143","45,441","73,286","45,986","4,933",611,198,70,23.2%,2.6%,1500 - 1600,1500 - 1600,77
B03,SB,70,Jan,31,"223,830",0,0,0,3,5,36,75,149,438,"1,063","1,786","6,146","34,708","39,285","77,658","54,031","7,067","1,079",301,71,27.9%,3.8%,1600 - 1700,1500 - 1600,78
B03,NB,70,Feb,29,"235,848",0,0,1,4,14,43,10,23,37,130,695,"6,003","40,335","47,115","81,750","53,094","5,665",682,247,71,25.3%,2.8%,1600 - 1700,1600 - 1700,77
B03,SB,70,Feb,29,"236,138",0,0,0,5,20,45,11,21,141,538,"1,009","4,433","32,824","39,553","84,473","62,552","8,821","1,310",382,72,30.9%,4.5%,1600 - 1700,1600 - 1700,78
B03,NB,70,Mar,17,"145,654",0,0,1,7,15,38,10,35,88,338,"1,507","8,370","32,944","33,735","43,558","22,525","2,151",241,91,69,17.2%,1.7%,1700 - 1800,1600 - 1700,76
B03,SB,70,Mar,17,"144,020",0,0,1,3,19,18,10,21,122,401,816,"3,333","23,422","29,832","49,228","31,295","4,607",686,206,71,25.5%,3.8%,1600 - 1700,1600 - 1700,77
B04,EB,70,Jan,31,"312,667",28,42,56,256,584,"1,140","2,509","3,975","6,705","9,315","14,750","27,054","65,995","65,780","67,241","38,763","7,175","1,056",243,66,15.1%,2.7%,1400 - 1500,1400 - 1500,75
B04,WB,70,Jan,31,"311,041",58,41,15,40,198,796,"1,887","3,942","8,591","15,878","35,611","63,719","64,696","80,842","30,898","3,302",388,86,53,61,1.2%,0.2%,1400 - 1500,1500 - 1600,69
