Site Code,Direction,Posted Speed,Month,Days of Data,Observed Vehicles, 0 to 5 MPH Vehicle Count,5 to 10 MPH Vehicle Count,10 to 15 MPH Vehicle Count,15 to 20 MPH Vehicle Count,20 to 25 MPH Vehicle Count,25 to 30 MPH Vehicle Count,30 to 35 MPH Vehicle Count,35 to 40 MPH Vehicle Count,40 to 45 MPH Vehicle Count,45 to 50 MPH Vehicle Count,50 to 55 MPH Vehicle Count,55 to 60 MPH Vehicle Count,60 to 65 MPH Vehicle Count,65 to 70 MPH Vehicle Count,70 to 75 MPH Vehicle Count,75 to 80 MPH Vehicle Count,80 to 85 MPH Vehicle Count,85 to 90 MPH Vehicle Count,90 to 95 MPH Vehicle Count,Average Speed,Percent >= 5 MPH Over Limit,Percent >= 10 MPH Over Limit,>=5 MPH Over Limit Peak Hour,>=10 MPH Over Limit Peak Hour,85th Percentile Speed
B02,EB,60,Apr,30,"347,814",0,1,1,1,0,3,8,34,61,469,"4,140","44,066","170,338","108,425","17,827","2,000",332,75,33,64,37.0%,5.8%,1600 - 1700,1700 - 1800,68
B02,WB,60,Apr,30,"342,462",0,2,2,1,1,10,43,142,385,"2,206","4,875","46,864","175,101","96,430","14,110","1,894",312,60,24,64,32.9%,4.8%,1600 - 1700,1100 - 1200,68
B02,EB,60,May,31,"377,869",0,1,0,2,2,0,24,99,66,683,"4,012","45,743","181,018","121,802","21,317","2,547",433,83,37,64,38.7%,6.5%,1600 - 1700,1600 - 1700,69
B02,WB,60,May,31,"376,751",0,0,0,0,1,4,29,73,182,"1,199","5,105","50,399","190,778","109,276","16,771","2,385",418,107,24,64,34.2%,5.2%,1500 - 1600,1100 - 1200,68
B02,EB,60,Jun,29,"359,135",0,2,3,3,1,3,7,23,59,311,"2,963","33,315","152,998","135,175","29,377","4,045",634,134,82,65,47.2%,9.5%,1600 - 1700,1600 - 1700,69
B02,WB,60,Jun,29,"355,576",0,0,6,1,0,3,13,28,92,530,"3,767","35,236","158,924","125,645","26,457","4,013",613,135,113,65,44.1%,8.8%,1600 - 1700,1200 - 1300,69
B03,NB,70,Apr,30,"290,069",0,5,3,23,45,81,24,48,97,360,"1,997","15,122","58,717","62,048","108,065","39,207","3,532",582,113,69,15.0%,1.5%,1600 - 1700,1600 - 1700,75
B03,SB,70,Apr,30,"280,505",0,1,5,14,28,53,20,54,195,889,"1,642","8,035","44,337","50,626","113,877","51,919","7,295","1,238",277,71,21.6%,3.1%,1600 - 1700,1600 - 1700,77
B03,NB,70,May,30,"309,108",0,0,3,9,54,97,38,40,126,441,"2,138","14,412","54,399","63,480","110,123","56,791","5,892",799,266,70,20.6%,2.3%,1600 - 1700,1700 - 1800,77
B03,SB,70,May,30,"306,129",0,1,1,14,33,55,14,25,164,635,"1,279","8,016","41,412","47,737","115,848","75,935","12,414","2,047",499,72,29.7%,4.9%,1600 - 1700,1600 - 1700,78
