State Route,Mile Post,,Site Name,Speed Limit,"Lanes by
Direction Inc/Dec",Region Office,Rural Urban,County,Data Status
,,Site ID,,,,,,,
002,0.26,R052,Everett,60,4/3,NW,U,Snohomish,
002,50.12,R038,Skykomish,60,1/1,NW,R,King,
002,80.20,R058,Nason Creek,60,1/1,NC,R,Chelan,
002,103.92,R047W,Peshastin,50,1/1,NC,R,Chelan,
002,104.84,R047E,Dryden,60,2/2,NC,R,Chelan,
002,113.10,P01,Cashmere,60,2/2,NC,R,Chelan,
002,119.77,R053,Wenatchee,50,2/2,NC,U,Chelan,
002,179.10,P02,Coulee City,65,1/1,NC,R,Douglas,
002,250.50,R064,Davenport,60,1/1,ER,R,Lincoln,
002,287.70,R102,Spokane,30,3,ER,U,Spokane,
002,289.79,R021,Spokane,30,3/3,ER,U,Spokane,
002,301.40,P28,Chattaroy,60,2/2,ER,R,Spokane,
002CO,289.20,R103,Spokane,30,3,ER,U,Spokane,
003,28.68,R089,Belfair,55,1/1,OR,R,Kitsap,
003,44.33,R050,Silverdale,60,2/2,OR,U,Kitsap,
004,55.05,R078,Longview,50,1/1,SW,R,Cowlitz,
005,1.98,P5,Vancouver,60,5/5,SW,U,Clark,
005,12.19,R109,Battle Ground,70,5/4,SW,R,Clark,
005,20.14,R045,Woodland,70,3/3,SW,R,Cowlitz,
005,35.88,R115,Kelso,70,3/3,SW,U,Cowlitz,Partial
005,44.30,P8,Kelso,70,3/3,SW,R,Cowlitz,
005,75.35,R104,Chehalis,70,3/3,SW,U,Lewis,
005,85.57,R019,Grand Mound,70,3/3,OR,R,Thurston,
005,100.54,R097,Tumwater,70,3/3,OR,U,Thurston,
005,103.54,R099,Tumwater,60,3/4,OR,U,Thurston,
005,106.70,P4,Olympia,60,4/4,ER,U,Thurston,
005,110.03,R060,Lacey,60,3/3,OR,U,Thurston,
005,117.18,R119,Fort Lewis,60,3/4,OR,U,Pierce,
005,119.36,R091,Dupont,60,3/3,OR,U,Pierce,
005,123.43,R120,Lakewood,60,4/4,OR,U,Pierce,
005,126.76,R092,Lakewood,60,4/4,OR,U,Pierce,
005,131.18,R034,Tacoma,60,4/4,OR,U,Pierce,Partial
005,136.80,S837,Fife,60,5/4,OR,U,Perce,Partial
005,148.07,S809,Kent,60,5/5,NW,U,King,
005,176.72,P3,Shoreline,60,5/4,NW,U,King,Partial
005,184.48,P1,Everett,60,4/4,NW,U,Snohomish,
005,193.29,R082,Everett,60,5/5,NW,U,Snohomish,
005,207.76,R001,Marysville,70,3/3,NW,U,Snohomish,
005,217.17,R110,Conway,70,3/3,NW,R,Snohomish,
005,226.96,R093,Mount Vernon,60,2/2,NW,U,Skagit,
005,253.97,R108,Bellingham,60,3/3,NW,U,Whatcom,
005,261.33,P04,Ferndale,70,2/2,NW,U,Whatcom,
005,269.41,S803,Custer,70,2/3,NW,R,Whatcom,
005,274.17,P9,Blaine,70,2/2,NW,U,Whatcom,
007,58.20,R090,Tacoma,55,4/4,OR,U,Pierce,No Data
008,20.67,R003W,Olympia,60,2/2,OR,R,Thurston,
009,28.75,P21,Arlington,45,1/1,NW,U,Snohomish,
009,32.98,R083,Bryant,50,1/1,NW,R,Snohomish,
012,12.30,B02,Brady,60,2/2,OL,U,Grays Harbor,
012,77.78,R075,Salkum,55,1/2,SW,R,Lewis,
012,135.10,R040W,Packwood,60,1/1,SW,R,Lewis,
012,185.25,S818S,White Pass,60,1/1,SC,R,Yakima,
012,185.62,S818E,Naches,60,1/1,SC,R,Yakima,
012,307.90,R008,Wallula,60,1/1,SC,R,Walla Walla,
012,376.98,P05,Dayton,60,1/1,SC,R,Columbia,
012,389.71,R067,Pomeroy,60,1/1,SC,R,Garfield,
014,11.90,P06,Camas,60,2/2,SW,U,Clark,
014,17.70,P07,Washougal,55,1/1,SW,U,Clark,
014,100.64,R076,Maryhill,60,1/1,SW,R,Klickitat,
014,102.27,R077,Stonehenge,55,1/1,SW,R,Klickitat,
016,1.63,R107,Tacoma,60,4/4,OR,U,Pierce,
016,8.43,R044,Tacoma,60,4/4,OR,U,Pierce,
016,18.65,R088,Burley,60,2/2,OR,R,Kitsap,
016,27.09,R116,Port Orchard,60,2/2,OR,U,Kitsap,
017,30.37,R020,Othello,60,1/1,NC,R,Adams,
017,112.25,R100,Mansfield,60,1/1,NC,R,Douglas,
018,5.26,P20,Auburn,60,2/2,NW,U,King,Partial
018,12.55,D12,Covington,60,2/2,NW,U,King,
018,27.62,S838,Echo Glen,45,1/1,NW,R,King,
020,20.02,S706,Coupville,50,1/1,OR,R,Island,
020,191.90,R037,Winthrop,60,1/1,NC,R,Okanogan,
020,304.60,S820,Republic,55,1/1,EA,R,Ferry,
020,340.64,R123,Sherman Pass,55,1/1,ER,R,Ferry,
020,356.01,R124,East Colville,55,1/1,ER,R,Stevens,
024,43.50,S612,Vernita,60,1/1,SW,R,Benton,
025,79.88,R122,Kettle Falls,55,1/1,ER,R,Stevens,
025,97.00,P27,Bossburg,55,1/1,ER,R,Stevens,
025,100.60,R121,Northport,55,1/1,ER,R,Stevens,
026,43.06,R066,Othello,60,1/1,NC,R,Adams,
027,77.30,P30,Spokane Valley,55,1/1,ER,R,Spokane,
082,24.83,R048,Selah,70,2/2,SC,R,Yakima,
082,34.02,P29,Yakima,60,2/2,SC,U,Yakima,
082,48.50,P08,Buena,70,2/2,SC,R,Yakima,
082,121.20,P09,Plymouth,70,2/2,SC,R,Benton,
082,131.79,R086,Umatilla,65,3/3,SC,R,Benton,Partial
090,2.98,R117,Seattle,60,4/4,NW,U,King,
090,14.65,S825,Issaquah,60,5/4,NW,U,King,
090,23.54,S826,Preston,70,5/4,NW,U,King,Partial
090,33.56,R039,North Bend,70,3/3,SC,U,King,No Data
090,47.71,S901,Tinkham,70,3/3,SC,R,King,Partial
090,63.98,S903,Cabin Creek,70,2/2,SC,R,Kittitas,
090,82.70,B04,CleElum,70,2/2,SC,R,Kittitas,
090,136.59,R042,Vantage,60,2/2,SW,R,Kittitas,
090,180.33,R055,Moses Lake,70,2/2,NC,R,Grant,
090,218.83,P10,Ritzville,70,2/2,ER,R,Adams,
090,254.23,R014,Fishtrap,70,2/2,ER,R,Lincoln,
090,278.80,R118,Spokane,60,3/4,ER,U,Spokane,
090,285.23,R036,Spokane Valley,60,4/3,ER,U,Spokane,
090,298.79,P24,Spokane,70,2/2,ER,U,Spokane,
097,13.41,R041,Goldendale,60,1/1,SW,R,Klickitat,
097,66.30,P03,Wapato,55,2/2,SC,R,Yakima,
097,178.19,R047S,Blewett Pass,60,1/1,NC,R,Chelan,
097,220.55,R084,Orondo,60,1/1,NC,R,Douglas,
097,250.35,P11,Pateros,60,1/1,NC,R,Okanogan,
097,286.16,P23,Okanogan,60,1/1,NC,R,Okanogan,
097,293.42,R068,Omak,60,1/1,NC,R,Okanogan,
097,335.30,P22,Oroville,60,1/1,NC,R,Okanogan,
97AR,201.53,R059,Rocky Reach,60,1/1,NC,R,Chelan,
099,29.37,R101,Seattle,50,3/3,NW,U,King,Partial
101,0.60,S841W,Astoria/Chinook,40,1/1,SW,R,Pacific,
101,30.00,R074,Nemah,55,1/1,SW,R,Pacific,
101,104.55,R054,Humptulips,60,1/1,OR,R,Grays Harbor,
101,204.00,R073,Sappho,60,1/1,OR,R,Clallum,
101,245.35,R069,Port Angeles,60,2/2,OR,U,Clallum,
101,281.15,R023,Discovery Bay,55,1/1,OR,R,Jefferson,
101,324.80,P18,Lilliwaup,50,1/1,OL,R,Mason,
101,361.37,R003N,Olympia,60,1/1,OR,R,Thurston,
101,361.81,R003E,Olympia,60,2/2,OR,R,Thurston,
101,366.88,R098,Olympia,45/60,4/3,OR,U,Thurston,
104,13.92,R085,Hood Canal,40,1/1,OR,R,Jefferson,
104,19.48,R095,Port Gamble,50,1/1,OR,R,Jefferson,
105,31.92,R043,Westport,55,1/1,OR,R,Grays Harbor,
123,3.88,R040N,Ohanapecosh,60,1/1,SW,R,Lewis,No Data
167,5.71,R112,Fort Malone,60,2/2,NW,U,King,
167,13.30,R113,Algona,60,2/2,NW,U,King,
167,23.70,P6,Kent,60,3/3,NW,U,King,
182,6.34,R081,Pasco,70,3/3,SC,U,Franklin,
195,6.01,P13,Uniontown,60,1/1,ER,R,Whitman,
195,22.20,P14,Pullman,60,1/1,ER,R,Whitman,Partial
195,87.70,P15,Spangle,60,2/2,ER,R,Spokane,Partial
205,29.85,R051,Vancouver,60,3/3,SW,U,Clark,
221,13.10,P17,Prosser,65,1/1,SC,R,Benton,
240,37.20,R062,Richland,60,4/4,SC,U,Benton,
285,0.40,S103,East Wenatchee,40,2/3,NC,U,Douglas,
285,4.51,R105,Wenatchee,45,2/2,NC,U,Chelan,
290,17.66,P33,Newman Lake,55,1/1,ER,R,Spokane,
307,2.31,R096,Poulsbo,50,1/1,OR,R,Kitsap,
395,18.58,R087,Kennewick,55,2/2,SC,U,Benton,
395,27.20,B03,Pasco,70,2/2,SC,R,Franklin,
